uid,item,item_no,verdict,rationale
980,4.1 표집전략 적절성,4.1,Y,"2.5절 12개 산책로에서 현장 무작위 배포 200부, 경로 유형 비교라는 RQ1에 부합하는 전략"
980,4.2 표본 대표성,4.2,CT,"단일 공원·2월 명절 기간 현지 상시 이용자 180명, 20–29세가 41.6%로 편중(2.5절)"
980,4.3 측정 적절성,4.3,Y,"PRS·PRSS 검증 척도 사용, Cronbach α 0.938/0.841·KMO>0.7·Bartlett 유의(3.1절)"
980,4.4 무응답 편의,4.4,Y,"200부 배포 중 180부 유효(90%), 불완전 응답만 제외해 무응답 비율 낮음(2.5절)"
980,4.5 통계분석 적절성,4.5,N,"Table 5 매개 총효과가 전부 음(-)으로 Table 2 snow 양(+) 상관과 모순, p=0.021/0.038을 비유의로 표기"
984,4.1 표집전략 적절성,4.1,Y,"Methods 10개 sampling point 사운드워크와 현장 무작위 면접 300부, 시청각 융합 평가 목적에 부합"
984,4.2 표본 대표성,4.2,CT,"단일 명승지 방문객 262명, 헤페이 거주자 93% 편중이며 인구통계는 그림으로만 제시"
984,4.3 측정 적절성,4.3,N,"Q1–Q4가 경관과 소리를 한 문항에 묶어 기여 분리 불가, 초록이 표방한 soundscape restoration 미측정"
984,4.4 무응답 편의,4.4,Y,300부 배포 → 273부 회수(91%) → 262부 유효(87.33%)로 무응답 비율 낮음(Methods)
984,4.5 통계분석 적절성,4.5,N,"Figure 11에서 L3/L10/L50/L90을 측정 지속시간으로 해석, 검정기법·통계량 없이 p값만 제시"
999,3.1 참가자 대표성,3.1,N,"2.4절 참가자 30명 전원 21–28세 대학원생, 간선도로 인접 보행공간 이용자 모집단과 괴리"
999,3.2 노출·결과 측정 적절성,3.2,Y,"NTi XL2 녹음·B&K 4231 교정·HATS 재생 교정, ISO/TS 12913-2 속성과 Soundscapy 지표 사용(2.2–2.5절)"
999,3.3 결과자료 완전성,3.3,Y,"30명×7조건 210부 전량 유효 응답, 중도탈락 보고 없음(2.5절)"
999,3.4 교란변수 고려,3.4,CT,성비 15:15·연령·청력 스크리닝으로 설계 통제하나 자극 제시순서 무작위화·counterbalancing 서술 전무
999,3.5 중재 시행 충실성,3.5,Y,"사전 training session 후 자극 1분·응답 30초·휴식 2분 고정 절차, 반무향실 20dB 미만(2.4절)"
1005,5.1 혼합설계 근거,5.1,Y,Conclusion에서 소음지도는 공간 상세·상시 모니터는 시간 상세라며 자료 결합 필요성 명시
1005,5.2 요소 통합,5.2,Y,Fig.2 파이프라인으로 설문·Strava·EPA 지도를 우회경로 사례분석에서 결합해 RQ3–4에 대응
1005,5.3 통합 결과 해석,5.3,CT,"노출 추정이 단일 구간 1곳과 50dB 미만 0dB 대입에 의존, 설문 표본과 Strava 표본은 개인 수준 미연결"
1005,5.4 불일치 처리,5.4,N,"자전거 경험 66% 긍정 대 음환경 77% 부정, 소음민감도-행동 무관 결과를 불일치로 다루지 않음"
1005,5.5 각 방법 품질기준 준수,5.5,N,"Results 인용 자유응답의 문항·응답자 수·코딩 절차가 Methods에 전무, Table 1 연령 합계 333≠335"
1009,3.1 참가자 대표성,3.1,Y,"사전 관찰조사로 이용자 구성 확인 후 Peace Gardens 이용자 120명 현장 무작위 모집, 구성 유사 확인"
1009,3.2 노출·결과 측정 적절성,3.2,CT,SQE·LoW와 Ambisonic 360° 자극은 적절하나 참가자 개인 휴대폰 재생으로 음압 교정 절차 전무
1009,3.3 결과자료 완전성,3.3,Y,"120명 전원이 4개 샘플 평정, Table 1 전 항목 N=120 일관이며 탈락 보고 없음"
1009,3.4 교란변수 고려,3.4,CT,피험자 내 설계와 제시순서 무작위화는 있으나 시각-청각 결합 효과 분리 불가를 저자가 Limitation에서 인정
1009,3.5 중재 시행 충실성,3.5,Y,"연구 의도를 가린 동의서·설문 제목, 각 샘플 종료 직후 문항 제시 등 절차 상세 기술(Data collection)"
1018,4.1 표집전략 적절성,4.1,Y,"3개 공원×4개 공간유형, 평일·주말 08:00–18:00, 지점당 10부 이하 상한으로 행동 상태별 비교에 부합"
1018,4.2 표본 대표성,4.2,Y,"유효 1044명, 남 565·여 479, 5개 연령군에 고르게 분포하며 65세 이상도 324명 포함(Table 3)"
1018,4.3 측정 적절성,4.3,CT,"행동 분류를 자기보고와 관찰 혼합으로 수집하면서 관찰자 간 신뢰도 미보고, α는 0.8 초과로만 제시"
1018,4.4 무응답 편의,4.4,Y,"1100부 배포 중 1044부 유효, effective response rate 94.9% 명시(2.3절)"
1018,4.5 통계분석 적절성,4.5,Y,"ANOVA+Tukey·요인 ANOVA(ηp²)·PCA·성별연령 통제 다중회귀·공선성 점검, 모형 설명력 27–55% 보고"
1020,4.1 표집전략 적절성,4.1,Y,"10개 지점 300m 이상 이격 사운드워크와 2시간 간격 행동관찰, 시청각-행동 관계 목적에 부합(2절)"
1020,4.2 표본 대표성,4.2,N,"참가자 30명 전원 20–30세로 한정, 저자도 Limitations에서 타 연령대 일반화 제약 인정"
1020,4.3 측정 적절성,4.3,N,"만족도 Cronbach α만 0.6 초과 보고, 행태활력은 관찰자 단일문항이며 Point 5는 척도 범위 밖 0값"
1020,4.4 무응답 편의,4.4,Y,250부 배포 중 244부 유효(97.6%)로 무응답 비율 낮음(2절)
1020,4.5 통계분석 적절성,4.5,N,"Equation(1) 계수가 Table 3과 10배 차이, LAeq-쾌적 r=-0.261(p<0.001)을 본문은 무관하다고 기술"
1053,4.1 표집전략 적절성,4.1,Y,Queens 공원 472필지 전수를 대상으로 iNaturalist research-grade 기록을 100ft 버퍼로 결합(Methods)
1053,4.2 표본 대표성,4.2,CT,472개 중 113개(24%)를 자료 불완전으로 제외했으나 제외 기준과 잔존 359개의 특성 비교 없음
1053,4.3 측정 적절성,4.3,CT,"소음이 실측이 아닌 NPS 전국 모델 추정치, 종속변수 Interaction은 Observers×Observations로 종속"
1053,4.4 무응답 편의,4.4,N,"iNaturalist 참여 편의를 선행연구 인용으로만 언급하고 미보정, 24% 단위 결측의 편향 검토 없음"
1053,4.5 통계분석 적절성,4.5,N,"Poisson GLM의 과분산 검정과 공간자기상관 처리 부재, Park Type 표준오차 44.8–555.8 미진단"
1069,3.1 참가자 대표성,3.1,Y,"2개 활동공간 이용자를 covert observation으로 전수 관찰, 조건별 352–457명 총 2060 person-observations"
1069,3.2 노출·결과 측정 적절성,3.2,Y,"Class 1 BSWA 801과 5m 격자 측정으로 L90 대비 5–10dB 상향 설정, SP·OSI·DSI를 BORIS로 코딩"
1069,3.3 결과자료 완전성,3.3,Y,"조건당 210분을 10분 excerpt로 분할, 이상소음·5명 미만 사전 기준 적용해 182개 유효(86.7%)"
1069,3.4 교란변수 고려,3.4,CT,밀도 차이는 비율 지표로 정규화하고 날씨·시간대는 조건 순환으로 상쇄하나 개인 성·연령 미수집
1069,3.5 중재 시행 충실성,3.5,Y,"스피커 7대 20cm 높이·15m 간격, 15초 fade in/out, 30초 간격 SPL 상시 기록으로 시행 확인(2.5절)"
1076,4.1 표집전략 적절성,4.1,Y,"5개 공원 주요 지점에 균등 배치해 현장 면접, 사운드스케이프-행동-SRE 경로 검증 목적에 부합(2.3절)"
1076,4.2 표본 대표성,4.2,N,"인구통계를 여성·25–40세·학사 중심이라 서술만 하고 수치 미제시, Figure 1은 표본 정보표가 아님"
1076,4.3 측정 적절성,4.3,Y,"PRSS 16문항 5차원 수정판, Cronbach α 0.74–0.94·CR>0.7·AVE>0.5·Fornell-Larcker 판별타당도 보고"
1076,4.4 무응답 편의,4.4,Y,"482부 배포 중 419부 유효, 저자 보고 유효율 86.74%로 무응답 비율 낮음(2.3절)"
1076,4.5 통계분석 적절성,4.5,CT,"SEM 적합도 8종 양호하나 LAeq 43.9–67.7dBA인 5개 공원을 단일 표본 통합, CI 하한 0을 9% 기여로 기술"
1110,4.1 표집전략 적절성,4.1,Y,OSM 가로망을 따라 50m 간격 8854개 표본점에서 4방위 SVI 35416장을 체계적으로 추출(3.2절)
1110,4.2 표본 대표성,4.2,Y,멜버른 도심 전 가로망을 포괄하고 자전거 노선유형 4종을 모두 포함해 분석단위 대표성 확보(3.1절)
1110,4.3 측정 적절성,4.3,N,"청각 변수 8종 전부 SVI 기반 예측치이며 실측 없음(벤치마크 R²≈0.48), 통행량은 Strava 밝기 프록시"
1110,4.4 무응답 편의,4.4,N,"필터링을 기술했으나 8854×4=35416으로 실제 제외 0건, Strava 자기선택 편의는 인정만 하고 미보정"
1110,4.5 통계분석 적절성,4.5,N,"50m 간격 표본을 무작위 80/20 분할해 공간자기상관 미처리, p>0.05로 제외한 traffic noise를 계속 해석"
1115,4.1 표집전략 적절,4.1,Y,"런던·브리즈번 센서스 통근 OD 전수를 R5R로 경로화해 노출 산정(Methods, L239-252)"
1115,4.2 표본 대표성,4.2,Y,"양 도시 통근자 전수 기반이며 10건 미만 셀만 프라이버시 목적 억제(Data, L239-242)"
1115,4.3 측정 적절,4.3,CT,소음이 CoRTN 모델 추정치이고 도시 간 16h·6등급 vs 18h·5등급으로 비등가(L228-238)
1115,4.4 무응답 편의 낮음,4.4,Y,응답이 의무인 국가 센서스 자료라 무응답 편의 기전이 사실상 없음(L239-242)
1115,4.5 통계분석 적절,4.5,Y,RF 튜닝·70/30 분할·상관 0.8 초과 변수 제거·변수중요도와 PDP 해석(L291-308)
1121,4.1 표집전략 적절,4.1,Y,5개 캠퍼스 개방공간에서 기상·음향 계측과 동시에 보행자 인터셉트 설문 실시(L284-288)
1121,4.2 표본 대표성,4.2,N,학생 92.6%·19~25세 83.2%에 단일 캠퍼스 봄 1회 조사라 일반 이용자 대표성 결여(Table 3)
1121,4.3 측정 적절,4.3,Y,"ISO 7726 기반 RayMan PET와 LAeq 사용, 장비 측정범위·정확도 명시(Table 2, L364-388)"
1121,4.4 무응답 편의 낮음,4.4,CT,1349부 중 1163부 유효만 기술하고 거부율·무효 사유·무응답 비교가 없음(L421-422)
1121,4.5 통계분석 적절,4.5,N,"PET 1도·LAeq 5dB 구간평균에 회귀 적합해 R2 과대, 상호작용은 최대-최소 차이 서술뿐(L406-417)"
1122,3.1 참가자 대표성,3.1,N,Credamo 온라인 패널이고 18~30세 71.4%·PC 이용자 한정이라 공원 이용자 대표 아님(L447-450)
1122,3.2 노출·결과 측정 적절,3.2,CT,결과가 미검증 단일문항 0-100과 자체 SII이고 실제 재생 음압은 측정 불가로 자인(L471-473)
1122,3.3 결과자료 완전,3.3,CT,시나리오당 30명 완결만 보고하고 배제·탈락·결측 처리 절차 기술이 없음(L453-454)
1122,3.4 교란 고려,3.4,N,무작위배정도 공변량 투입도 없이 사후 relatively balanced 진술만 제시(L653-655)
1122,3.5 노출 의도대로 시행,3.5,CT,예비 10명 자연성 확인뿐이고 본실험 참가자의 템포 지각 조작점검이 없음(L303-305)
1138,4.1 표집전략 적절,4.1,CT,단일 간선도로 러시아워 녹음으로 측정 일자·회차 미기재이고 인터뷰 30명은 편의표집(L198-208)
1138,4.2 표본 대표성,4.2,N,인터뷰 30명의 연령·성별이 전무하고 단일 도로 한정이라 호치민 이용자 대표 불가(L205-208)
1138,4.3 측정 적절,4.3,Y,RION NL-28을 NC-74로 매 녹음 전 교정하고 44.1kHz·FFT 4096·LAeq 1.5초 명시(L253-262)
1138,4.4 무응답 편의 낮음,4.4,CT,응답률·무응답·결측·탈락에 관한 보고가 방법부 전반에 전혀 없음(L198-262)
1138,4.5 통계분석 적절,4.5,N,통계 검정은 물론 평균·표준편차·반복 측정 횟수도 없이 dB 수치 비교만 제시(L405-434)
1149,5.1 통합 근거,5.1,Y,도시 감각경험의 복잡성을 이유로 혼합설계 근거와 프레임워크 도식을 제시(L160-170)
1149,5.2 효과적 통합,5.2,N,음향·생리·설문·인터뷰가 절별로 병렬 제시되고 정량-정성 교차 통합 분석이 부재(Results)
1149,5.3 불일치 해석,5.3,N,"스트레스 회복 무의미 결과(L435, L480-484)와 불안 감소 결론(L17-18)의 충돌을 다루지 않음"
1149,5.4 각 방법 품질기준 준수,5.4,N,"표본수 120/90/76과 인터뷰 24 대 42가 모순이고 상관·회귀 계수와 p값을 미보고(L264, L441-485)"
1149,5.5 품질기준 준수 보고,5.5,N,"단독 코더로 코더간 신뢰도가 없고 장비·척도 출처가 방법부와 결과부에서 불일치(L197-201, L394-395)"
1172,4.1 sampling strategy relevant to address research question,4.1,Y,건축·도시농촌계획·문화유산보존 분야 전문가를 초청하고 대운하 국가문화공원 방문 경험을 유효성 선별 기준으로 삼아(Questionnaire and interview design; Experimental process) 제목의 '전문가 관점' 연구질문에 부합한다. 다만 초청 경로·표집틀은 기술되지 않았다.
1172,4.2 sample representative of the target population,4.2,N,"172명 중 25–30세 64.5%, 대학 소속 89.0%, 건축 전공 80.2%, 석사 86.0%로 치우쳤고(Table 4), 저자도 전문가 표본의 인구학적 특성 무시를 한계로 밝혔다(Conclusions 마지막 문단). 함의 대상인 공원 방문객 집단과도 다르다."
1172,4.3 measurements appropriate,4.3,Y,"장소애착·보호 행동 문항은 선행연구 출처가 제시되고(Table 3) Cronbach α 0.799–0.935, AVE >0.5, CR >0.7(Table 5–6)로 신뢰도·수렴타당도가 보고됐다. 다만 행동 문항이 대부분 'I will …' 의도형이고 16개 음원을 모두 55 dB(A)로 정규화해 실제 노출 강도가 반영되지 않았다(Audio-visual materials; Discussion)."
1172,4.4 risk of nonresponse bias low,4.4,Y,배포 180부 중 172부가 유효해 유효율 95.56%로(Experimental process) 무응답·무효 비율이 낮다.
1172,4.5 statistical analysis appropriate to answer research question,4.5,Y,"AMOS 최대우도 SEM과 적합도 지표(χ2/df 1.833, GFI 0.904, RMSEA 0.070, CFI 0.904; Table 7), bias-corrected 95% CI 매개검정(Table 9)은 지각–장소애착–행동 경로 질문에 적합하다. 다만 NFI 0.812를 완화 기준(>0.8)으로 수용했고, 인공음→유산보존 행동이 Table 9에서는 부분매개인데 결론에서는 완전매개로 기술됐다."
1174,4.1 표집전략 적절,4.1,Y,5개 구 평일 2일 트립 279만 건 전수에 이상치 필터 규칙 명시 후 500m 육각격자 집계(L206-210)
1174,4.2 표본 대표성,4.2,CT,평일 2일과 중심 5개 구에 한정되고 개인 속성 부재로 시간·이용자 대표성 판단 불가(L201-206)
1174,4.3 측정 적절,4.3,CT,"청각 지표를 SVI 기반 CatBoost로 예측했고 현장 실측 대비 상관이 r=0.575에 그침(L226, L507)"
1174,4.4 무응답 편의 낮음,4.4,Y,해당 기간 트립 전수이고 제외 규칙이 명시되어 차등 무응답 기전이 없음(L207-209)
1174,4.5 통계분석 적절,4.5,Y,"LightGBM 5-fold 교차검증과 모형 비교, SHAP·ALE 해석에 건조환경 변수 통제(L474-483, L559)"
1177,5.1 통합 근거,5.1,Y,"폐쇄형 설문이 놓치는 정서 차원 접근을 이유로 혼합설계 채택 근거를 진술(L327, L955-964)"
1177,5.2 효과적 통합,5.2,Y,"LAeq·설문·사운드다이어리·멘탈맵을 NVivo matrix coding과 논의에서 교차해석(L583-591, L979-983)"
1177,5.3 불일치 해석,5.3,N,"정량-정성 결과 불일치의 체계적 논의 없이 개별 이례값 언급에 그침(L743-744, L802-803)"
1177,5.4 각 방법 품질기준 준수,5.4,CT,"정량은 n=58에 검정력 산정이 없고 대표성을 저자가 부인, 정성 코딩 신뢰도 미보고(L528-529)"
1177,5.5 품질기준 준수 보고,5.5,Y,"ISO 1996-2와 ISO 12913-2/3 준거, 교정 절차, 사진감사 kappa 0.70 이상, 표집설계를 명시(L546-574)"
1178,3.1 참가자 대표성,3.1,CT,"공원 이용자 자연표본이나 성별·연령이 미기록이고 단일 공원 40m 보도에 한정(L162, L273-276)"
1178,3.2 노출·결과 측정 적절,3.2,Y,"UAV 영상으로 경로·속도·체류시간을 코딩하고 조건별 SPL 실측, 취기는 7점 주관강도(L248-256)"
1178,3.3 결과자료 완전,3.3,Y,"조건별 표본수(경로 335, 체류 115)를 전부 보고하고 2초 간격 코딩 기준을 명시(L297-345)"
1178,3.4 교란 고려,3.4,N,취기 유무를 서로 다른 날에 배정해 날짜와 교락되고 통계적 공변량 보정이 없음(L160-161)
1178,3.5 노출 의도대로 시행,3.5,Y,"무취 조건 30명 이상 무향 확인, 재생 전후 SPL 실측, 스피커 은폐와 돌발음 모니터링(L193-194, L238-242)"
1190,1.1 qualitative approach appropriate to answer research question,1.1,Y,"§1 연구질문(가로망 형태 요인과 도시 요소가 경로선택에 미치는 영향, 보행자 유형 도출)이 개인의 의사결정 과정을 탐색하는 것이어서 보행과제 후 심층면접이라는 질적 접근이 적합(§3 서두)."
1190,1.2 qualitative data collection methods adequate,1.2,Y,"반구조화 면접 스크립트 공개(Appendix 1), 보행 후 48시간 안에 본인 GPS 궤적을 보며 결정지점을 질문, 녹음·전사, 이론적 포화 원칙으로 모집, 3명 예비연구로 절차 보정(§3.1–3.3)."
1190,1.3 findings adequately derived from the data,1.3,Y,"데이터 기반 개방코딩·주제분석·Weber 이념형 유형화 절차를 기술하고(§3.4) 주제별 언급 참가자 수(§4.1)와 유형별 N·GPS 궤적(Table 2, Fig. 5–9)을 제시함. 코더 수·코딩 신뢰도는 보고하지 않음."
1190,1.4 interpretation of results sufficiently substantiated by data,1.4,Y,"각 주제와 유형마다 참가자 인용(IDI 번호·성별)과 경로 지도로 해석을 뒷받침(§4.1–4.2, Fig. 5–9). 단 소음 관련 해석(maintainer형의 소음 회피)은 소음을 직접 언급한 인용 2건(IDI9·IDI12)에 의존함."
1190,"1.5 coherence between data sources, collection, analysis and interpretation",1.5,Y,"연구질문 → 보행과제·GPS·면접 → 코딩·주제 → 유형화(Table 2, Fig. 10) → 논의·결론(§5–6)이 일관되게 이어짐."
1191,4.1 sampling strategy relevant to address research question,4.1,CT,"§2.1 [page 3]: 음원 유형·인간활동 수준으로 3개 구역을 나누고 사계절 주·야간에 녹음해 구역 간 비교에 맞는 표본 틀은 잡았으나, 설문·추적 대상 관광객의 모집·선정 방법과 표본 수를 보고하지 않아 판단할 수 없음."
1191,4.2 sample representative of the target population,4.2,CT,전문 어디에도 응답자 수·인구학적 특성·관광객 모집단과의 비교가 없어 대표성을 판단할 수 없음.
1191,4.3 measurements appropriate,4.3,N,"§2.1 [page 3]: 8채널 마이크 어레이(44.1 kHz, 표본당 30분 이상) 녹음은 적절하나, 쾌적·고요·자연성·방해 4차원을 모두 '매우 불만족–매우 만족' 5점 선택지로 측정했고 결과에서는 방해를 'Infection'으로 표기(Table 2·3 [page 8, 10])했으며, 체류시간·사진 빈도는 조작적 정의·측정 절차가 기술되지 않음."
1191,4.4 risk of nonresponse bias low,4.4,CT,응답률·거절·결측·추적 탈락에 대한 보고가 전혀 없음.
1191,4.5 statistical analysis appropriate to answer research question,4.5,N,"§3.2–3.3 [page 7–10]: 표본 수 미보고 상태에서 딥러닝 예측 성능(R², RMSE, 정확도)만 제시하고, Table 3 '통계 검정 결과'는 '10회 반복' 평균±SD 로 구역 간 추론통계가 없으며, 행태–음환경 관계는 §4 [page 10–11] 서술뿐 통계 분석이 없음."
1202,4.1 표집전략 적절,4.1,Y,4개 주거단지 기능공간을 3개 시간대 사운드워크로 조사하고 친숙도 통제 위해 주민 배제(L177-198)
1202,4.2 표본 대표성,4.2,N,"대학생·지인 편의표집에 20~29세 70.6%·60세 이상 0%이고 주민을 배제해 대표성 결여(L193, L938-967)"
1202,4.3 측정 적절,4.3,Y,"B&K 4101 바이노럴과 2270 소음계, 심리음향 지표, ISO/TS 12913-2 5.2절 준거(L177, L206-208)"
1202,4.4 무응답 편의 낮음,4.4,CT,응답률·탈락·결측 처리에 관한 보고가 방법부 전반에 없음(L184-264)
1202,4.5 통계분석 적절,4.5,CT,순서형 로짓은 적절하나 1인 다응답 1528건의 군집 상관을 미보정하고 개인특성도 미투입(L263-264)
1211,4.1 표집전략 적절,4.1,Y,"종단 사례연구에서 의도표집한 단일 dyad의 자연 보행 26개 구간을 분석(L84-85, L128-129)"
1211,4.2 표본 대표성,4.2,N,"모녀 1쌍 단일사례이고 협응 보행 이력이라는 특수성으로 저자도 일반화 불가를 인정(L331, L338)"
1211,4.3 측정 적절,4.3,CT,"행동 코딩은 kappa 0.75~1.0로 견고하나 음환경은 비교정 dB LUFS 중앙값 이분화(L119-121, L131-140)"
1211,4.4 무응답 편의 낮음,4.4,Y,"결측 약 10%와 횡단 구간 제외를 사유와 함께 명시적으로 보고(L116-117, L127-128)"
1211,4.5 통계분석 적절,4.5,Y,"chromatic RQA 파라미터 명시, Mann-Whitney에 Holm-Bonferroni 보정, 무작위 기준선 대비(L146-188, L217-220)"
1218,4.1 sampling strategy relevant to address research question,4.1,Y,"공원 전역 격자 24개와 시야 차폐 보완 3개 등 27개 지점을 평일 2일·주말 2일 개장시간(06:00–21:00) 매시 동시 관측해(§2.1–2.2, Figure 1) 시간대별 이용 변화라는 연구질문에 부합"
1218,4.2 sample representative of the target population,4.2,Y,전 지점 전수 관측으로 해당 공원의 여름철 이용자를 공간·시간적으로 포괄(§2.1–2.2); 단일 공원·여름 4일이라 일반화 한계는 저자가 명시(§4.4)
1218,4.3 measurements appropriate,4.3,CT,"SOPARC 표준 프로토콜·훈련된 관찰자 2인 코딩(§2.2.1)이나 관찰자 간 신뢰도 미보고, 음환경은 녹음 스펙트로그램으로 음원 유형만 분류하고 음압레벨·교정·음원 변수 정량화 방식(빈도·지속시간·비율)을 밝히지 않음(§2.2.2); 조도는 사진에서 추정(§4.4)"
1218,4.4 risk of nonresponse bias low,4.4,Y,"응답 기반이 아닌 파노라마 촬영 관찰이라 무응답 편의가 비해당이며, 시야 차폐는 보완 지점 3개로 대응(§2.1)"
1218,4.5 statistical analysis appropriate to answer research question,4.5,CT,"ANOVA·Spearman(Benjamini–Hochberg FDR 보정)·다중회귀(VIF<5, Moran's I, Durbin–Watson)를 명시했으나(§2.3) 모형별 관측 수·변수 선택 절차가 보고되지 않았고, 고정 지점 반복 관측의 종속성을 모형화하지 않았다고 저자가 인정(§4.4)해 판단 불가"
1221,4.1 표집전략 적절,4.1,Y,"5개 구역에서 10분 간격 체계적 인터셉트로 2023년 9~11월 2개 시간대 조사(L164-166, L186-187)"
1221,4.2 표본 대표성,4.2,N,"18~30세 68.9%·학사 이상 81.3%·관광객 79.7%에 평일만·단일 가로로 한정(L219-224, L272-306)"
1221,4.3 측정 적절,4.3,N,핵심 척도 Cronbach alpha 0.641~0.665로 저자도 낮다고 기술하고 KMO도 0.645~0.684(L492-515)
1221,4.4 무응답 편의 낮음,4.4,CT,응답률·거부·결측에 관한 보고가 방법부 전반에 전혀 없음(L164-256)
1221,4.5 통계분석 적절,4.5,CT,"CATREG·EFA는 적절하나 본문 beta·p값이 Table 4와 불일치하고 Spearman을 R2로 표기(L706-707, L1081-1093)"
1232,1.1,1.1,Y,연역적 주제분석 기반 전문가 포커스그룹이 인식·정서·행동 탐색이라는 RQ에 부합(2절 서두)
1232,1.2,1.2,Y,"파일럿 포커스그룹으로 질문지 검증, 반구조화 가이드, 튀르키예·국제 2개 코호트 운영(2.1)"
1232,1.3,1.3,Y,"4주제 16하위주제 34코드·102개 코딩사례 도출, 하위주제마다 직접 인용 제시(2.2, 3절)"
1232,1.4,1.4,Y,"해석마다 발췌 인용을 근거로 제시하고 문헌 삼각검증·연구자 성찰성 기술(2.2, 4절)"
1232,1.5,1.5,Y,"연구질문에서 코드북·주제·Healthy Streets 매핑까지 분석 논리가 일관되게 연결(2.2, 4절)"
1242,4.1,4.1,Y,"사운드워크로 4개 조사구역 선정, 평일·주말 무작위 표집, 73dBA 초과 응답 제외(2.3)"
1242,4.2,4.2,CT,"다롄 단일 해안지·14~17시·5~6월 한정, 남성 60% 편중이라 대표성 판단 불가(2.3)"
1242,4.3,4.3,Y,"PRSS 척도 Cronbach α 0.716~0.906, KMO 0.6~0.8, BSWA801 소음계 규격 측정(2.2-2.3)"
1242,4.4,4.4,Y,230부 배포 중 201부 유효로 유효응답률 87% 확보(2.3)
1242,4.5,4.5,Y,"왜도·첨도로 정규성 확인 후 ANOVA·사후검정, CATREG 상대중요도, PCA 적용(2.4)"
1258,4.1,4.1,CT,"6개 측정지점은 천공률 기준 목적표집이나 응답자 모집·선정 절차가 기술되지 않음(2.1, 2.3)"
1258,4.2,4.2,N,"청소년·청년이 87.3%를 차지하고 아동·고령자 누락을 저자도 한계로 인정(2.3, 4절)"
1258,4.3,4.3,Y,"AWA6228+ LAeq_5min, 파노라마 천공률, ISO/TS 12913-2 기반 문항, BORIS 코딩 사용(2.2-2.4)"
1258,4.4,4.4,Y,587부 배포 중 554부 유효 회수로 회수율 94.4%(2.3)
1258,4.5,4.5,Y,"PCA 적재>0.6, Kruskal-Wallis, Spearman, 다중선형회귀 VIF<2 기준 적용(2.5)"
1272,3.1,3.1,N,"TU Delft 학생·교직원 40명 중 남성 33명으로 성비 편중, 저자도 대표성 제한 인정(2.6, 5절)"
1272,3.2,3.2,Y,"90Hz 궤적·헤드트래킹 기록에 SSQ·Presence·Trust 등 표준화 척도 병용(2.5, 2.7.1)"
1272,3.3,3.3,Y,"41명 모집 중 40명이 18개 시나리오 전부 완료, 중도탈락 1명만 분석 제외(2.6)"
1272,3.4,3.4,Y,"피험자내 설계·시나리오 무작위 순서·가로유형 고정에 더해 LMM 임의효과 적용(2.1, 2.7.2)"
1272,3.5,3.5,Y,eHMI 발동거리 15/20/25m와 역제곱 감쇠식으로 자극 전달을 설계대로 통제(2.2)
1280,4.1,4.1,Y,"공공접근성·일상활동 기준 10개 공간 선정, 14일 관찰과 G*Power 최소 109명 충족(2.1, 2.3)"
1280,4.2,4.2,CT,"칭다오 2개 마을·단일 계절 표본이며 농촌 고령인구 대비 대표성 비교자료 없음(2.1, 초록)"
1280,4.3,4.3,Y,"Testo480·AWA5636 교정 측정, GVI/SVI 추출, α=0.812, 관찰 kappa=0.88 보고(2.2)"
1280,4.4,4.4,CT,"배포 설문 수를 보고하지 않아 무응답률 산출 불가, 무효응답 제외만 기술(2.2.2)"
1280,4.5,4.5,Y,"VIF 점검 후 다항 로지스틱, MLP 67/33 분할·하이퍼파라미터 조정, 하위집단 회귀(2.3)"
1305,4.1 sampling strategy relevant to address research question,4.1,Y,18세 이상 그린운동 참여자라는 표적집단에 맞춰 SoSci Survey 링크를 소셜미디어·스포츠연맹·클럽으로 눈덩이 배포했다(Materials and methods p.2). 그린운동 이용자의 녹지 요소 평가라는 연구질문에 부합하는 모집 경로다.
1305,4.2 sample representative of the target population,4.2,N,"눈덩이 편의표본으로 대학학위 58.6%(Table 2)의 고학력 표본이고, 저자가 20세 미만·60세 초과 과소대표와 높은 자연친화성·활동수준을 한계로 명시했다(Limitations p.7)."
1305,4.3 measurements appropriate,4.3,CT,"요소 배터리 Cronbach α 0.88·0.88과 NR-6 α 0.82, 사전 문구 검토는 보고됐으나(p.2–3) 자연의 소리는 단일 중요도 문항이고 기상조건별 그린운동 활동 문항의 형식·척도·타당도가 보고되지 않아 판단할 수 없다."
1305,4.4 risk of nonresponse bias low,4.4,N,완료 772부 중 결측으로 364부(약 47%)를 제외하고 408부만 분석했으며(Data analysis p.3) 제외자와의 비교나 배포 대비 응답률 정보가 없다.
1305,4.5 statistical analysis appropriate to answer research question,4.5,Y,"기술통계, Spearman·Pearson 상관, Bonferroni 사후검정 ANOVA와 효과크기 보고(p.3)는 기술적 연구질문에 적합하다. 다만 다수 상관에 다중비교 보정이 없고 상관에 η²를 제시한 점은 약점이다."
1306,4.1,4.1,Y,"100m 간격 24,529개 SVI 지점과 정제된 7,247개 주행궤적으로 가로단위 표집(3.3-3.4)"
1306,4.2,4.2,N,KEEP 피트니스앱 이용자 자료로 여가·운동 주행 편중을 저자가 명시적으로 인정(3.4)
1306,4.3,4.3,CT,음환경을 실측 아닌 SVI 기반 ML 추론값으로 대체했고 현지 검증 성능 미보고(3.5.2)
